node_id,x,y,z,ux,uy,uz,ux_abs,uy_abs,uz_abs
0,0.0,4.091766964866572,0.29941516995833756,4.511746031532126e-09,-2.7366653863818013e-09,6.821552209893758e-08,4.514204887820682e-09,2.7390360694197785e-09,6.826869154687654e-08
1,0.0,4.500943661353229,0.29941516995833756,4.663385845413063e-09,-2.6846419284437482e-09,7.819547994341688e-08,4.6660284670634475e-09,2.686938899503445e-09,7.825748913816186e-08
2,0.0,4.500943661353229,0.37426896244792196,7.802516534393029e-09,-4.479927083405722e-09,7.818167633961087e-08,7.806850562726593e-09,4.4838269598178316e-09,7.824367058218724e-08
3,0.08090316834433345,4.500943661353229,0.37426896244792196,7.808821823451115e-09,-4.496498882442768e-09,7.481354076092745e-08,7.813158879708179e-09,4.500428574956117e-09,7.487381355626182e-08
4,0.0,4.091766964866572,0.37426896244792196,7.554714503546412e-09,-4.583562030011743e-09,6.819399858060376e-08,7.558790621388232e-09,4.587597888024223e-09,6.824714638987934e-08
5,0.08090316834433345,4.500943661353229,0.29941516995833756,4.666478130673383e-09,-2.6978355555588796e-09,7.482302018076542e-08,4.6691235585095056e-09,2.7001589087056975e-09,7.488330379691445e-08
6,0.08090316834433345,4.091766964866572,0.37426896244792196,7.548163154347849e-09,-4.621059079795476e-09,6.493748381759778e-08,7.552230568243479e-09,4.625145299085048e-09,6.498899302776385e-08
7,0.0,4.091766964866572,0.22456137746875315,1.4622021559990468e-09,-9.215866153890736e-10,6.822905081937075e-08,1.4630280809303478e-09,9.223118674640398e-10,6.828223649439805e-08
8,0.08090316834433345,4.091766964866572,0.29941516995833756,4.51094884255251e-09,-2.761166677454384e-09,6.495405392834453e-08,4.5134069096254536e-09,2.7635726941945688e-09,6.500558232381263e-08
9,0.0,3.682590268379915,0.29941516995833756,4.13168379131604e-09,-2.9064409394420842e-09,5.7254702473279795e-08,4.133799515929181e-09,2.9090156916790794e-09,5.729798841617882e-08
10,0.0,4.500943661353229,0.22456137746875315,1.5135719891797093e-09,-9.053162953977754e-10,7.820259082114238e-08,1.5145067635965826e-09,9.060173206870589e-10,7.826460945523815e-08
11,0.1618063366886669,4.500943661353229,0.37426896244792196,7.832753069891506e-09,-4.468875993411184e-09,7.138744215959909e-08,7.83710730728676e-09,4.472802916521313e-09,7.144598040448007e-08
12,0.0,3.682590268379915,0.37426896244792196,6.925341857618154e-09,-4.915324260654291e-09,5.721855825866974e-08,6.9288820837192285e-09,4.919733428063286e-09,5.7261807790270055e-08
13,0.08090316834433345,4.500943661353229,0.22456137746875315,1.5149726464903262e-09,-9.083016365115005e-10,7.482615791080152e-08,1.5159082034207455e-09,9.090198390685863e-10,7.488644643951678e-08
14,0.0,3.682590268379915,0.22456137746875315,1.3406892909011905e-09,-9.713703843915676e-10,5.727764357224421e-08,1.3413727192872437e-09,9.721691168803933e-10,5.732095690006933e-08
15,0.08090316834433345,4.091766964866572,0.22456137746875315,1.463811683712219e-09,-9.286819038100309e-10,6.496087159330522e-08,1.4646387661397393e-09,9.294257795747644e-10,6.501241052977172e-08
16,0.1618063366886669,4.500943661353229,0.29941516995833756,4.672379395015419e-09,-2.685809213614426e-09,7.139829050242889e-08,4.6750332324315676e-09,2.6881403095764386e-09,7.145684442193405e-08
17,0.08090316834433345,3.682590268379915,0.37426896244792196,6.8966216371794746e-09,-4.979262066548622e-09,5.424446867459112e-08,6.900139815183893e-09,4.98373236158971e-09,5.428629225839418e-08
18,0.08090316834433345,3.682590268379915,0.29941516995833756,4.120173256057456e-09,-2.9538152270800666e-09,5.426811779676337e-08,4.122282315597767e-09,2.956437678847132e-09,5.4309970562398337e-08
19,0.1618063366886669,4.091766964866572,0.37426896244792196,7.557263685383858e-09,-4.578547590376595e-09,6.165302485220204e-08,7.561339367281814e-09,4.582618231308212e-09,6.170290211415265e-08
20,0.0,4.091766964866572,0.14970758497916878,-1.5914428417983143e-09,8.849126194842166e-10,6.823583798205404e-08,1.5922586573660384e-09,8.858397900470058e-10,6.828902876071042e-08
21,0.1618063366886669,4.091766964866572,0.29941516995833756,4.512033261464805e-09,-2.7432409400086484e-09,6.16698929250141e-08,4.514497246307511e-09,2.7456486642368863e-09,6.171979513432882e-08
22,0.0,3.2734135718932578,0.29941516995833756,3.562345105668291e-09,-3.168911570182451e-09,4.4911071626303146e-08,3.5640154674119948e-09,3.1717211239120584e-09,4.4943286240663044e-08
23,0.0,4.500943661353229,0.14970758497916878,-1.6379785801295297e-09,8.722007907810619e-10,7.820486550723072e-08,1.6387654081648276e-09,8.731077215159714e-10,7.826688198007571e-08
24,0.0,3.682590268379915,0.14970758497916878,-1.45293325009129e-09,9.413667642624022e-10,5.729213628013764e-08,1.4536887561698103e-09,9.423342378496611e-10,5.733546462266892e-08
25,0.08090316834433345,3.682590268379915,0.22456137746875315,1.3407638453814282e-09,-9.859709273151418e-10,5.428006285066544e-08,1.3414478455269932e-09,9.867912365228328e-10,5.432193468303671e-08
26,0.24270950503300034,4.500943661353229,0.37426896244792196,7.871818281952905e-09,-4.406176494463359e-09,6.78920672043677e-08,7.876211544994385e-09,4.410079238066285e-09,6.794885549593944e-08
27,0.0,3.2734135718932578,0.37426896244792196,5.977235414610128e-09,-5.400209546120283e-09,4.4866058633181644e-08,5.980056075279237e-09,5.4050163363591826e-09,4.4898236772717994e-08
28,0.0,3.2734135718932578,0.22456137746875315,1.1560971692535077e-09,-1.052427209175479e-09,4.494234789919669e-08,1.1566180174904212e-09,1.0533204900415606e-09,4.497459243452952e-08
29,0.08090316834433345,4.500943661353229,0.14970758497916878,-1.636574137676992e-09,8.799579911202636e-10,7.482697215021852e-08,1.6373612491471104e-09,8.808547181937915e-10,7.488725932641387e-08
30,0.08090316834433345,4.091766964866572,0.14970758497916878,-1.5864384908097973e-09,8.958305199730465e-10,6.496215289896564e-08,1.5872514939831064e-09,8.967531171524608e-10,6.501369354245079e-08
31,0.1618063366886669,4.500943661353229,0.22456137746875315,1.5149146431967165e-09,-9.055093342548143e-10,7.140052307581146e-08,1.5158532525393883e-09,9.062384764523822e-10,7.145908394693216e-08
32,0.1618063366886669,4.091766964866572,0.22456137746875315,1.4635141741477944e-09,-9.237441539209228e-10,6.167451153613689e-08,1.4643438783428405e-09,9.244969448219173e-10,6.172442572841576e-08
33,0.24270950503300034,4.500943661353229,0.29941516995833756,4.683627060155676e-09,-2.6511746784275712e-09,6.790383714375735e-08,4.686301189236529e-09,2.6534991886979035e-09,6.796064885211974e-08
34,0.08090316834433345,3.2734135718932578,0.37426896244792196,5.9395575294843295e-09,-5.483206884484578e-09,4.230824121169133e-08,5.942352705586063e-09,5.488070094885655e-09,4.233928889987515e-08
35,0.08090316834433345,3.2734135718932578,0.29941516995833756,3.5471688674691983e-09,-3.235019903469708e-09,4.2333182440564584e-08,3.5488321636074423e-09,3.237879900987783e-09,4.236425699447156e-08
36,0.1618063366886669,3.682590268379915,0.37426896244792196,6.873650343864855e-09,-4.920578338057434e-09,5.1240402023327264e-08,6.8771609486496725e-09,4.925015639722398e-09,5.128081325105861e-08
37,0.1618063366886669,3.682590268379915,0.29941516995833756,4.103230310091262e-09,-2.9322791603044766e-09,5.126006557155047e-08,4.105337126925758e-09,2.934897368793826e-09,5.1300510380377304e-08
38,0.24270950503300034,4.091766964866572,0.37426896244792196,7.57627810057645e-09,-4.491894161776761e-09,5.834051256691873e-08,7.580385025153394e-09,4.49591663611001e-09,5.838876191104322e-08
39,0.0,4.091766964866572,0.07485379248958439,-4.645639780535446e-09,2.70558691118915e-09,6.823796008597016e-08,4.6480909147264765e-09,2.7081632008771957e-09,6.829114562542496e-08
40,0.0,3.2734135718932578,0.14970758497916878,-1.2524047512398933e-09,1.029123881101569e-09,4.496730930353047e-08,1.2530393594085939e-09,1.0301257556310568e-09,4.499957410072333e-08
41,0.08090316834433345,3.682590268379915,0.14970758497916878,-1.440638824727109e-09,9.62782030977811e-10,5.428379698962737e-08,1.4413872795392497e-09,9.637549991298778e-10,5.432567645364181e-08
42,0.24270950503300034,4.091766964866572,0.29941516995833756,4.516710511239209e-09,-2.696043190562502e-09,5.835653629472739e-08,4.519192643930684e-09,2.6984310064176213e-09,5.8404818551310466e-08
