node_id,x,y,z,sigma_xx,sigma_yy,sigma_zz,tau_xy,tau_yz,tau_zx,ux,uy,uz,von_mises
0,0.0,8.821896998175744,3.0497659033559352,-37672.423816294664,-11171.311470230787,-161764.9026570195,4016.527866078789,-4344.349429815616,-66346.76013684017,4.198901128237242e-07,1.223903041148572e-06,-5.941352890988091e-07,180832.89614901994
1,0.0,9.340832115715493,3.0497659033559352,25912.31884238231,123451.34408926789,66262.81895611402,26247.29773091412,-17114.451228091675,7897.304350192827,3.15512042859564e-07,1.4664646201933038e-06,-1.088959515945517e-06,101680.15215008172
2,0.0,9.340832115715493,3.812207379194919,-473169.35784012196,-1013523.3628036514,-1288477.8514264536,-44009.30278706214,-73982.82328072934,-48434.709512171685,3.093596095776492e-07,1.7214275960842333e-06,-2.4644841303976702e-06,738528.1135324106
3,0.08923750241269811,9.340832115715493,3.812207379194919,1154902.1727069358,901274.6380984146,467184.501286613,-15103.219519383561,-100014.70089588375,-66631.55970537933,4.896799017915817e-07,1.7641769965048627e-06,-2.556053112370838e-06,637864.2657635589
4,0.0,8.821896998175744,3.812207379194919,-475521.9026440811,-1071964.374653468,-1036617.3630068962,-72236.79309251002,1611.31512523965,-24980.77165236721,1.035281017878001e-06,1.991017212497849e-06,-1.554132853359089e-06,594512.3576004095
5,0.08923750241269811,9.340832115715493,3.0497659033559352,-294916.068796993,-260587.37811878754,-108515.22375386815,1821.2327840732517,3500.3434919596907,65590.00124426339,2.8342235800702043e-07,1.464723122790821e-06,-1.1577021784672943e-06,206101.1638849798
6,0.08923750241269811,8.821896998175744,3.812207379194919,872058.4701768633,498422.0268183379,508510.5732954222,-62378.19089857927,-5150.613070232357,33963.43298095,1.178260663706678e-06,2.0228247047503464e-06,-1.6750527718908681e-06,388779.8462306976
7,0.0,8.821896998175744,2.2873244275169515,-864998.6978066824,-788508.680956217,-522434.5359813955,-32443.07768439641,-13997.941923553144,135865.86261615634,-9.646099158370828e-07,1.0081046365597065e-06,-1.8180301754176303e-06,395123.1124737627
8,0.08923750241269811,8.821896998175744,3.0497659033559352,-244031.71989721956,-163225.30526457302,-222652.35490099312,36790.95303994976,29466.504681262908,-55259.65143170449,4.0828293914082645e-07,1.283343440501626e-06,-7.37325053049016e-07,145208.8105494077
9,0.0,8.302961880635994,3.0497659033559352,205507.40033748935,270718.79689200025,202200.2310728953,-5590.564582665297,105965.11337273882,-34665.89438488789,4.779916362056932e-07,1.2313271387662488e-06,-8.187932289516766e-07,204606.64805764332
10,0.0,9.340832115715493,2.2873244275169515,-56501.97659834442,-647333.2014118851,-365359.489924651,-135487.1901436195,93499.43903563607,-6449.18624679063,-9.339383961587865e-07,4.1274085721199717e-07,-2.0496153726060183e-06,586014.8327901311
11,0.17847500482539622,9.340832115715493,3.812207379194919,781112.5003254709,446150.2031002415,14697.485448000494,39096.654024496165,-87767.00635065975,-40645.46404364693,6.790870951592415e-07,1.8849028724395093e-06,-2.611976955427841e-06,689581.4165867176
12,0.0,8.302961880635994,3.812207379194919,-273780.65218136227,-180810.2239628518,-70531.46045439219,42269.37718870203,50735.87749934539,18376.89120849165,1.4521239068734444e-06,2.4391729406551948e-06,-6.956500605962255e-07,212492.79753203766
13,0.08923750241269811,9.340832115715493,2.2873244275169515,1103345.6803903508,546082.565253545,750747.0223105005,16519.459725039727,23706.206237567385,-4692.768892225577,-7.864314827736105e-07,3.36553869737636e-07,-2.0613455446798906e-06,490865.0151600098
14,0.0,8.302961880635994,2.2873244275169515,-574180.0203506561,-330092.4653866829,-167509.50239986865,14957.058080287476,-50359.403118815186,65993.36175167366,-4.3952143923607606e-07,6.415513426498641e-07,-1.390531049332222e-06,383459.453982654
15,0.08923750241269811,8.821896998175744,2.2873244275169515,-438349.0623511336,-347873.60337196104,-243057.7827192112,-93443.44865338107,15364.035775539018,133118.1080829522,-1.0210336112467666e-06,1.0078623987717382e-06,-1.7595457108095872e-06,329727.0258741896
16,0.17847500482539622,9.340832115715493,3.0497659033559352,-132028.10704386004,-223185.26613245864,-58343.81011391191,-36794.9429699601,29258.282899738842,2327.587158905887,2.728798923599914e-07,1.3969217288418713e-06,-1.2833538253993942e-06,164626.40210457696
17,0.08923750241269811,8.302961880635994,3.812207379194919,-596889.1650894053,-384359.49429353705,-321783.1953769618,26024.625267452535,126233.49458884899,33430.64787083362,1.3723394445334045e-06,2.4326440438064393e-06,-7.831988025307172e-07,339960.77397771087
18,0.08923750241269811,8.302961880635994,3.0497659033559352,-112088.12465880864,55089.894030821015,-92101.28135713028,-35745.289954787084,64917.99810469755,-22173.188134803677,4.47752842034246e-07,1.1988117226670118e-06,-9.340526040881763e-07,207262.56412320456
19,0.17847500482539622,8.821896998175744,3.812207379194919,602275.8378320734,311844.4922117994,303322.9935664114,-38015.693187442725,-30599.26600224299,73525.28899037646,1.3000579326357083e-06,2.0345405499088204e-06,-1.7164366468879213e-06,332054.6960438842
20,0.0,8.821896998175744,1.5248829516779676,464912.7198092077,403161.54124007217,113961.31804826368,4768.349656095199,-6723.221095889342,-120348.02683496634,-3.102101216618653e-07,7.751255070668307e-07,-1.2257244542240884e-06,385957.49901209417
21,0.17847500482539622,8.821896998175744,3.0497659033559352,-143205.78316322772,-75882.8185411853,-135309.19823898122,50154.281734680575,42681.57780535067,-116426.0143932076,3.9928292386537256e-07,1.392702275179833e-06,-1.000540630527667e-06,240290.81084129395
22,0.0,7.784026763096245,3.0497659033559352,-9617.920543888342,95547.44523169806,-65150.87079127575,85183.67165459576,157010.27805210082,-19066.275194567363,2.441880961183744e-08,6.192616223619542e-07,-1.1517450409270657e-06,341759.90152197273
23,0.0,9.340832115715493,1.5248829516779676,-212323.49378989896,-655525.1526134032,-668825.02842297,-69220.6359207817,57326.21163721936,4306.264437280828,-6.473124319165521e-07,4.6732131401192885e-07,-1.0313237252868102e-06,476222.7722142986
24,0.0,8.302961880635994,1.5248829516779676,97242.99185223207,346790.81190633785,-88497.25305932415,52286.91990431015,51980.96923197317,-99492.94854009707,-1.3764906526975396e-07,-4.210780023120205e-08,-1.3452637129522458e-06,434889.6367830444
25,0.08923750241269811,8.302961880635994,2.2873244275169515,-320553.5916651601,-150726.8287055227,-33555.54405299842,31296.701405679716,-76983.27903276712,63537.21278653035,-5.370829870491409e-07,7.228974928536776e-07,-1.4177371371134856e-06,308703.2845361613
26,0.2677125072380943,9.340832115715493,3.812207379194919,624470.7432421985,317091.99536668893,13203.209479811607,40717.91102093696,-62006.0404436097,50220.19656241072,8.569189097415712e-07,2.0337165496908345e-06,-2.611831622122786e-06,551646.0275839441
