node_id,x,y,z,sigma_xx,sigma_yy,sigma_zz,tau_xy,tau_yz,tau_zx
96,0.9500000000000001,0.01,0.05,260397.6711672179,100877.6500939854,94052.52642649686,314390.80170800566,9603995.56236104,-2621276.1157096773
97,0.9,0.0,0.04,-81279.93980471746,-251690.5119281351,-690558.0402661355,-61521.823947493394,6494609.193004488,15826.513017673033
98,0.9,0.01,0.04,-20113773.928860597,-20280315.57732922,-47300333.0403832,-52086.201560270936,-13756597.398667175,3016316.2781414837
99,0.8500000000000001,0.0,0.03,5256242.369065956,4768713.952166438,10946072.152084291,-181199.15625189603,3165642.402773364,246997.63596441265
100,1.0,0.03,0.05,5265739.544285308,5165145.847130642,12576006.54357657,52287.52140106342,282859.66836969263,-1188428.9376337458
101,0.8500000000000001,0.01,0.03,14517040.512327831,14259276.317123149,33474292.479500465,159374.10837929414,144738.67483804058,610026.0754201105
102,0.8,0.0,0.02,-2443056.859318091,-3262104.020503498,-7747621.799905094,26708.403624204697,-560109.0601415595,-17158.668533979187
103,0.8,0.01,0.02,-840790.1904684441,-1659368.4090634657,-3774900.5957999565,-10333.449963486992,114280.97782472019,416739.5139092344
104,0.75,0.0,0.01,1825193.9982443005,347955.5263304109,628141.0604949851,44666.624321537034,-159453.74257639894,-107388.5752136344
105,1.0,0.06,0.01,38289305.08786018,38127016.28500051,89196799.48718698,-30423.496721878135,499345.723406188,-5134647.346279011
106,0.9500000000000001,0.05,0.02,33816319.38521109,33670076.12320691,78404004.38435075,-34664.98993552609,-63058422.29930451,3586257.292634899
107,0.9,0.04,0.02,-3764155.9457609346,-4458858.841003085,-10291015.655046647,-106795.5878665399,3974896.6248308006,284552.3215779137
108,1.0,0.05,0.04,4586406.4861681,4436156.850518495,10813488.688813148,-4010.961495923715,-3138976.616968366,316202.43500466604
109,0.9500000000000001,0.04,0.04,-3158255.9476284683,-3269103.081060184,-7495666.7327761855,-2206.9671415536136,887126.2554081335,561860.3200117251
110,0.8500000000000001,0.03,0.02,592687.4941411993,202902.21189368147,732178.0928648353,324990.44642407744,-7652.980713687607,171607.14694629682
111,0.75,0.01,0.01,1896359.222735537,453762.1231929339,990999.0741624556,597459.6651453947,286715.99808214174,-450079.0169989492
112,1.0,0.01,0.06,2101529.2809871733,1350546.2939440291,2370642.6984110386,-571094.5655377976,-1954209.9185325406,-81195.75026483282
113,0.9500000000000001,0.02,0.05,-27951142.248663433,-27865529.270320617,-64933900.36388312,-104551.59168478216,-17564061.08897186,11494806.208198687
114,0.9,0.02,0.04,-80207663.78174272,-79944682.679816,-186111152.9007071,160813.62573085903,17867635.48263272,4568408.620773479
115,1.0,0.04,0.05,2134667.560912112,2014684.1297192771,5354926.277878697,1806.7031532946414,-957942.0689480555,-9546.967787463182
116,0.8500000000000001,0.02,0.03,4494978.542994952,4524513.466026127,11020421.708943853,-114565.13908306228,-2127147.767145327,1685500.0153586422
117,1.0,0.06,0.0,-21778249.553934928,-22020888.57317819,-51165739.67794664,-48173.05138986494,2198658.5272590225,2015064.1530106838
118,1.0,0.06,0.02,-64744179.44273411,-64870807.42910772,-151170993.43097442,767.5078360119287,-42765793.04298198,26087356.606121927
119,0.9500000000000001,0.05,0.03,-20380395.849028945,-20110919.444548246,-48122891.11591005,-36987.960949716886,12470473.29935455,369002.46891334024
120,0.9,0.04,0.03,5203341.10975371,4751400.63935335,11092273.15616409,-87058.50731392822,-753391.1210693447,-288953.99581085186
121,0.8,0.02,0.02,794319.0680951978,145110.98034252308,447397.61569314694,536775.2921152153,-306842.4288608721,-7551.9762650963
122,0.7000000000000001,0.0,0.0,2541440.5249491753,192904.4683408699,34091.13354944835,-1350195.7374048284,-51173.647015316266,163022.31404386275
123,1.0,0.0,0.06,-1417091.7695750187,-955733.6837663737,-1770853.312095189,1079266.972199351,1156240.6546399235,65731.47268371542
124,1.0,0.02,0.06,622258.3946513344,474743.660910745,899578.2042148511,438695.2314532864,3269819.3734868197,-1610727.7078631679
125,0.9500000000000001,0.03,0.05,-20562412.560588103,-20666955.25959272,-47874258.93733389,26998.867384183315,13092566.131893918,3152466.36012252
126,0.9,0.03,0.04,14711876.475848194,14716468.013238963,34577490.86308337,-135096.8288450533,-11191194.13826952,827151.0133284869
127,0.9500000000000001,0.06,0.0,9936379.467506073,9583953.701996334,22482739.317980535,-47012.82545404235,-2621742.546748202,478.823359090346
128,0.9500000000000001,0.06,0.01,-98568775.86903062,-98867161.82923983,-230641586.37485158,-37273.01463667311,21201548.89214872,3849875.4682480427
129,0.9,0.05,0.0,37209590.15347186,36456226.88495741,85084654.46620622,-72470.4705888643,-308857.505296845,86471.23362427966
130,0.9,0.05,0.01,-34794391.11818837,-35379528.6672293,-82510869.41577336,-52591.88312876747,-22688902.27038874,-3762431.47981886
