node_id,ux,uy,uz
213,1.6621133395782789e-06,4.9813808465800805e-08,1.4615770331460606e-06
214,8.10258638118814e-07,6.434573229070909e-08,1.0977388258724157e-05
215,1.6638652428381842e-06,3.012969601519075e-08,1.460210230067828e-06
216,1.502279367223918e-06,7.441541535526999e-08,2.153568693715003e-07
217,3.259439185130485e-06,-1.6531184497634482e-07,1.696284016362912e-05
218,2.6166652130924674e-06,-1.0062309716498605e-07,1.390152800493778e-05
219,2.5366020965229954e-06,-8.413819757089053e-08,1.0893934440121508e-05
220,1.4222276716541451e-06,-2.300030337875884e-09,1.7028220037574384e-05
221,2.4009268300488885e-06,-6.507444740703598e-08,8.052780680613096e-06
222,2.216100374872839e-06,-4.3993531488748065e-08,5.475745971593777e-06
223,2.0167560386146464e-07,1.0472835050896802e-07,1.7115640588994482e-05
224,8.148449822892479e-07,5.9212587567877086e-08,1.3953371092736074e-05
225,1.3365431431423468e-06,2.310041240465419e-08,8.079546443660837e-06
226,1.9852831216532373e-06,-2.0025620881902996e-08,3.242195600161032e-06
227,1.5020004131660982e-06,4.658124870999267e-08,2.205232869292376e-07
228,-1.029945621861892e-06,2.0910057644210293e-07,1.7376591670095186e-05
229,-3.926437281857787e-07,1.5820966503467802e-07,1.4158058495170342e-05
230,2.362488607613367e-07,1.0595426017670616e-07,1.1063016838315392e-05
231,-4.074502609052529e-07,1.7823766652981592e-07,1.7398203507385966e-05
232,0.0,6.237297201345181e-08,8.150379732107842e-06
233,0.0,3.016560462556781e-08,5.515393650529764e-06
234,2.1411001815536775e-07,1.1147203347920158e-07,1.4010296856868952e-05
235,1.582161461323541e-06,1.2985146161322598e-08,3.2480914527443046e-06
236,3.878278204333792e-06,-2.2307713623258153e-07,1.6964959815470713e-05
237,2.644504023943822e-06,-1.1023373140754794e-07,1.6961290214946885e-05
238,2.0139826079562225e-06,-4.7528199622283595e-08,1.3898803961398424e-05
239,1.9585068389734255e-06,-3.505612898587301e-08,1.0887897029076281e-05
240,8.12750784512158e-07,5.053355644237507e-08,1.7031979537383565e-05
241,1.8665581575208533e-06,-2.257015166431472e-08,8.043894305702054e-06
242,8.097037380631311e-07,6.38048807844337e-08,1.0930856869880077e-05
243,1.741582628859511e-06,-1.0885238872940214e-08,5.463573364699281e-06
244,1.6634756957596385e-06,9.7196546856024e-09,1.4529817008445096e-06
245,1.0994083540302501e-06,1.0576322238320316e-07,-4.287319363495421e-07
246,-1.0266106509723647e-06,2.0848912024470763e-07,1.741401125018481e-05
247,-1.0322170269837828e-06,2.0920170395167098e-07,1.7348870127645375e-05
248,-3.9474625330065866e-07,1.5924865506443366e-07,1.4114145669208211e-05
249,2.354351731386337e-07,1.0817734877833136e-07,1.1022419026320041e-05
250,-4.1075210703663874e-07,1.638432107391397e-07,1.7224850449152056e-05
251,8.074874180544954e-07,6.23218595892663e-08,8.115295484225627e-06
252,1.2728573132409995e-06,2.617886801812178e-08,5.487716479845705e-06
253,3.833547994107171e-06,-2.1312041122340613e-07,1.385456745734707e-05
254,3.2219806275726777e-06,-1.5817164575143565e-07,1.3849498579006437e-05
255,3.705245125991271e-06,-1.9279268508802416e-07,1.0861943447793484e-05
256,3.1171706047331024e-06,-1.4164496671512716e-07,1.0851510003284225e-05
257,3.480808792674216e-06,-1.6544477529974653e-07,8.036184266473345e-06
258,2.032685338871671e-06,-5.666286519473817e-08,1.6960577690299948e-05
259,2.936739104898612e-06,-1.1997028222829854e-07,8.020577465315572e-06
260,3.1698434412609523e-06,-1.302917189823695e-07,5.4744948755574984e-06
261,2.6883595855748137e-06,-9.270921668787297e-08,5.454766569477356e-06
262,2.804145592985482e-06,-9.144831793693456e-08,3.265839795862065e-06
263,1.41363384394183e-06,5.462903874976486e-09,1.3897240800584436e-05
264,2.3856069557878914e-06,-6.451136583460729e-08,3.237858322506091e-06
265,2.266832000354915e-06,-4.312679448265059e-08,1.4936010531148533e-06
266,1.3832211239457483e-06,1.409590463063047e-08,1.088393070665663e-05
267,1.9619377694337883e-06,-2.6587622392542624e-08,1.4635134664724133e-06
268,1.6903059065018418e-06,1.548908014165905e-08,2.5380694288236316e-07
269,2.0255261239971633e-07,1.0550517809929733e-07,1.703657018227767e-05
270,2.1327078345793959e-07,1.1238746108399628e-07,1.3954148279160594e-05
271,1.3351359760889018e-06,1.9987636659362253e-08,0.0
272,1.5812505870509207e-06,1.6566529747163116e-09,0.0
273,1.4994751868956774e-06,1.882082805043772e-08,2.208426013165319e-07
274,1.0899477366535146e-06,7.282482499447772e-08,-4.1844543533431994e-07
275,-9.970753877380365e-07,1.9610190284191529e-07,1.4242969700207712e-05
276,-1.0003064058526359e-06,1.9942438750698535e-07,1.4202360799105547e-05
277,-3.359879761069077e-07,1.3693771342451515e-07,1.1140001883822598e-05
278,-3.390262994852079e-07,1.414616342509219e-07,1.110385275913211e-05
279,2.829489952389056e-07,8.824137726263177e-08,8.210563152033714e-06
280,-1.0333409921605716e-06,2.0974524808614286e-07,1.7333763291331573e-05
281,2.8049187588450194e-07,9.175580571063168e-08,8.182321456481997e-06
282,8.085157984791878e-07,5.468166590646257e-08,5.553881480856247e-06
283,8.071609249168491e-07,5.497508537056088e-08,5.534851259213627e-06
284,1.1884417432953462e-06,4.0803418685772365e-08,3.2632215079578716e-06
285,-3.9590563699323046e-07,1.6683134261671986e-07,1.406886314610724e-05
286,1.1885548985833302e-06,3.519498070512793e-08,3.2536670353247336e-06
287,1.3661649824120864e-06,4.567835457346207e-08,1.4437385582171527e-06
288,2.351152928762166e-07,1.0947469177319134e-07,1.0977716426315327e-05
289,1.3669286318454115e-06,3.218341578927587e-08,1.4434183193107843e-06
290,1.3120067023737207e-06,6.408280636607789e-08,1.8851205310696392e-07
291,-4.1130876282827715e-07,1.6335145954670218e-07,1.712386243926283e-05
292,8.06359305785587e-07,6.22691199208655e-08,8.077032356450863e-06
293,1.312764533464926e-06,4.293645618315948e-08,1.9515863086972286e-07
294,1.0173796129405665e-06,9.396865820360193e-08,-4.6289415824215463e-07
295,3.259391799688682e-06,-1.682236008938747e-07,1.6901965212575325e-05
296,2.615680088798739e-06,-1.0409154693020056e-07,1.3845434394911701e-05
297,2.535088679811676e-06,-9.065430752337463e-08,1.0843214188341945e-05
298,1.4228523836871382e-06,-3.4761275870816823e-09,1.6961008837431555e-05
299,2.3985030306148216e-06,-7.447023900780748e-08,8.008388094171104e-06
300,2.2111035145222557e-06,-5.5855170238924854e-08,5.43886798099422e-06
301,8.138825425137337e-07,5.888697986266437e-08,1.3896617338059216e-05
302,1.9762089403612202e-06,-3.7105186655636324e-08,3.217200888461637e-06
303,8.090659919679809e-07,6.343131483128984e-08,1.0882023380154377e-05
304,1.2707379837247678e-06,2.2184193839514303e-08,5.455579688531943e-06
305,1.661045221426602e-06,-1.1025204664014097e-08,1.440845209568422e-06
306,1.0154038186968764e-06,6.563302860696996e-08,-4.522441932098308e-07
307,-1.6550666423830236e-06,2.5158086773717426e-07,1.7380974294434928e-05
308,-1.0028739260144316e-06,2.0278594348310233e-07,1.4160499224771099e-05
309,-3.4083018408157176e-07,1.4582212469000428e-07,1.1065386805087741e-05
310,-1.0347311661596073e-06,2.1602823080680102e-07,1.7333757357729416e-05
311,0.0,9.508814695599495e-08,0.0
312,8.056880705077033e-07,5.5122230118526005e-08,5.511521760673832e-06
313,-3.931215714475722e-07,1.6682102264802757e-07,1.401261835789697e-05
314,1.1880035971684979e-06,2.9297808489713723e-08,3.238584282164187e-06
315,2.347352763247608e-07,1.1119090659265466e-07,1.0931108132788575e-05
316,1.3662380127877872e-06,1.815527955240567e-08,1.436842151531178e-06
317,3.877468172630628e-06,-2.2570999052715807e-07,1.6904560065576743e-05
318,2.6449306712287873e-06,-1.1257653107098028e-07,1.6899892998923585e-05
319,2.0131985699514686e-06,-5.005517735355912e-08,1.3842319145802487e-05
320,1.9573490160864323e-06,-3.958552739279293e-08,1.0837051620180283e-05
321,8.136858013251526e-07,5.0500330599459406e-08,1.6962536500732716e-05
322,1.864588151537396e-06,-2.8974418994598855e-08,7.999464435022385e-06
323,1.7379326523695937e-06,-1.8982560889206897e-08,5.426927055599375e-06
324,-4.101033146903369e-07,1.6439330127643827e-07,1.7041358406120332e-05
325,2.1301524159745075e-07,1.1343460526202222e-07,1.3896861633080405e-05
326,8.05152224491187e-07,6.215991499714861e-08,8.035661522263197e-06
327,1.5764208139746267e-06,-1.0014692929702733e-08,3.202567474536919e-06
328,1.3114499924726557e-06,2.1347204645000784e-08,1.9561950150458292e-07
329,5.029714543872193e-07,1.1172809432078692e-07,-4.847421522663226e-07
330,-1.6510646433159767e-06,2.496743298544144e-07,1.741803392194356e-05
331,-1.6588261225397743e-06,2.5413899855509345e-07,1.735241742305145e-05
332,-1.0049046229440228e-06,2.0694070031017684e-07,1.4116234283086737e-05
333,-3.4164619484302765e-07,1.502329348593785e-07,1.1024364749235164e-05
334,-1.033404199907881e-06,2.2878197014541394e-07,1.7227680537926254e-05
335,2.772359786078575e-07,9.835737183711134e-08,8.115954106949604e-06
336,8.040140018428114e-07,5.517357893509343e-08,5.483883014321224e-06
337,-3.9155779185954e-07,1.6789074476160692e-07,1.3955826629022271e-05
338,1.1863111104394166e-06,2.3159448853870266e-08,3.2183766869297757e-06
339,3.832474309416329e-06,-2.17706525914782e-07,1.3798648912154236e-05
340,3.2214119582195308e-06,-1.624245445731163e-07,1.3793230928956894e-05
341,3.7028646040244366e-06,-2.0289342366790675e-07,1.0809398940305872e-05
342,3.115354462813498e-06,-1.500460062047714e-07,1.0798823060261482e-05
343,3.4769698906282725e-06,-1.8081637865745328e-07,7.988925226854152e-06
344,2.033449776350412e-06,-5.823286431900285e-08,1.68984222119852e-05
345,2.933595494960545e-06,-1.3246733587970236e-07,7.973204229645365e-06
346,3.1618453335675167e-06,-1.508878029391209e-07,5.43453231407175e-06
347,2.681429207192561e-06,-1.0942065799161745e-07,5.414141867475497e-06
348,2.7701904569002637e-06,-1.1827404979606055e-07,3.2347867870662612e-06
349,1.4129978112120586e-06,4.070232948850352e-09,1.3840219332805898e-05
350,2.3660285697218483e-06,0.0,3.208083706208387e-06
351,0.0,-7.43113869331816e-08,1.4774843985813405e-06
352,1.3823348087996914e-06,1.165296967687812e-08,1.0832971951092227e-05
353,1.955545167062728e-06,-5.286409926555988e-08,1.4467719484699938e-06
354,1.6855960090748847e-06,-1.7820169765451317e-08,2.48253667517903e-07
355,2.0377209836971928e-07,1.0652998119824594e-07,1.6964909698846656e-05
356,1.3335292680847428e-06,1.6555339775616973e-08,7.993735797073794e-06
357,1.4960501353958835e-06,-8.834546009298065e-09,2.1536669616881555e-07
358,1.0838924013921659e-06,3.9515351245750625e-08,-4.123564175218958e-07
359,2.3445411972403304e-07,1.1300485073456743e-07,1.0882205729790852e-05
360,1.2679484656454022e-06,1.7998807788964133e-08,5.419154697970483e-06
361,1.364131672377889e-06,3.864843086916417e-09,1.4248321094473425e-06
362,1.011600960773608e-06,3.74339026199761e-08,-4.463217048540019e-07
363,4.857664218165728e-07,8.01490029142641e-08,-4.7302168142298776e-07
364,-1.6123659830275963e-06,2.3672211575398364e-07,1.4245079722589912e-05
365,-1.615754698882317e-06,2.4169114162731636e-07,1.420515295478991e-05
366,-9.158282740079831e-07,1.7218429033687164e-07,1.1143960304046809e-05
367,-9.197472034448769e-07,1.7897705325167507e-07,1.1108130554666729e-05
368,-2.467552715920707e-07,1.1459333433749484e-07,8.213910002929248e-06
369,-1.6620440868437488e-06,2.5856086655676876e-07,1.7331038451892058e-05
370,-2.506383092791373e-07,1.2127945414956692e-07,8.185834218083986e-06
371,3.431455023949751e-07,7.10602305271291e-08,5.553915945896269e-06
372,3.401146993923853e-07,7.549324411503688e-08,5.535097650926252e-06
373,8.013016379589925e-07,4.6362126038305486e-08,3.2582364740440495e-06
374,-1.004831755127703e-06,2.1470640421227233e-07,1.4069207831952496e-05
375,7.996191786067644e-07,4.5939449245488134e-08,3.249113550649403e-06
376,1.0740448486685716e-06,4.1118835706818134e-08,1.4326647444359442e-06
377,-3.423471229018033e-07,1.5486840162093127e-07,1.0980641351416116e-05
