node_id,x,y,z,sigma_xx,sigma_yy,sigma_zz,tau_xy,tau_yz,tau_zx,ux,uy,uz,von_mises
0,0.0,2.625440972434469,2.2776434733608166,-16888.194690432534,27025.190638211418,71900.34152182289,-18123.810501476302,-14320.58086404451,5734.6787004224625,1.7418089422794237e-05,1.808352794478616e-06,4.490996257427032e-05,87247.34162027141
1,0.0,2.8641174244739664,2.2776434733608166,-48024.47694839701,-13144.33458374109,62790.157779511,-9474.648332187424,-14147.700928252525,-20476.65409481844,1.7161130250142e-05,1.8082403463361301e-06,4.4629482541726875e-05,108438.63085791796
2,0.0,2.8641174244739664,2.5054078206968984,-32508.941375444138,-20929.299792711514,1244.5083037611362,-12916.768001739825,-2268.1119509096434,-15967.514474599897,2.0345811883957195e-05,2.0511434996268993e-06,4.468844632832676e-05,46512.11511802869
3,0.3791783905401864,2.8641174244739664,2.5054078206968984,-97190.6838054808,-8544.022840420579,-1226.7989693366148,-17895.79305299759,3878.8890655902537,-12624.834311914095,2.02434262003331e-05,2.3868925093332797e-06,3.9308967290421986e-05,100222.22618504234
4,0.0,2.625440972434469,2.5054078206968984,-9420.008456224736,3768.2565356230816,10459.490307147607,-14630.618863289143,-9204.433026250752,-8676.832758912095,2.0620712365748745e-05,2.0471354589767543e-06,4.4952016905951613e-05,37803.97828447092
5,0.3791783905401864,2.8641174244739664,2.2776434733608166,-128938.08802892089,-12565.299922395654,39141.28798750046,-9286.901067764826,252.42909823126163,-57402.19993995464,1.6975300248058183e-05,2.1324292325654875e-06,3.922162565600337e-05,179937.22592347488
6,0.3791783905401864,2.625440972434469,2.5054078206968984,-84917.09190031482,18402.429261406065,6130.267911474371,-11606.294516056696,-3842.577707758838,-16651.736979161582,2.0524616934769335e-05,2.3342079581517446e-06,3.9576488998909014e-05,104104.90393714455
7,0.0,2.625440972434469,2.049879126024735,-7472.998748939511,43248.93489227032,128533.81931731783,-13706.511911656313,-28486.78425550803,-36568.55420333573,1.431625373517805e-05,1.6063394418484716e-06,4.478123330187297e-05,145540.07633529033
8,0.3791783905401864,2.625440972434469,2.2776434733608166,-106577.23873449785,30802.223971693016,62779.55051163215,-12576.880608667752,-7917.924036471554,-51150.332468144625,1.722803993057826e-05,2.0809043379485014e-06,3.949587604162731e-05,181108.74633877314
9,0.0,2.386764520394972,2.2776434733608166,-31828.820093937582,18568.56141687538,56307.011905826854,-3809.470784558815,-18489.456640548397,7499.459414656635,1.76093110956987e-05,1.8014521551246227e-06,4.521020095981803e-05,84284.32649948454
