node_id,x,y,z,sigma_xx,sigma_yy,sigma_zz,tau_xy,tau_yz,tau_zx,ux,uy,uz,von_mises
0,0.0,8.743145449564453,3.539245092939762,-574177.6324290407,-2944206.7828524983,-5784891.948342164,-1167095.1404756296,879334.997265292,-177241.39295997223,-8.909331576597444e-06,7.547914496340744e-07,-5.002245513331087e-06,5188381.624343307
1,0.0,9.471740903694824,3.539245092939762,40420.691216237734,-3887966.7630597292,-8183181.699523698,-2689748.6883292715,2020181.080832089,146668.32363364758,-6.552264613803766e-06,2.787501695114069e-06,-5.293621128795952e-06,9206874.68252909
2,0.0,9.471740903694824,3.8609946468433765,3116613.6307553537,2278371.7443414466,-3522353.5455464874,-1780057.7643664314,-4890.948291636602,3376520.963031537,-6.744965648469387e-06,8.531242888471775e-06,-1.2381423203707047e-05,9106154.204569139
3,0.4551716465745877,9.471740903694824,3.8609946468433765,-4886594.028829826,-5654643.660770562,-7155705.234611305,-1220281.9451179388,2340811.1600743486,68599.16250903918,-7.04790158174211e-07,-4.266492964573177e-07,-5.26691166857218e-06,4991547.670644191
4,0.0,8.743145449564453,3.8609946468433765,2368979.0876202863,2628101.4444601126,-1242357.200247772,-1328269.3593670405,-809945.6982711492,3095106.9634098285,-6.662587326426825e-06,2.259413717188478e-06,-8.920628623812907e-06,7074225.616315065
5,0.4551716465745877,9.471740903694824,3.539245092939762,3684297.126542848,2317094.304418783,4353521.620776101,924192.4653007059,-546948.770004208,1097338.9542303008,-1.592944066202982e-06,-5.688052037598627e-06,-3.7749610983571175e-06,3210044.0727274916
6,0.0,8.743145449564453,3.217495539036147,2201656.0693489322,3435124.1034662416,5804475.706400285,416445.30904394016,-133484.47155012123,-1504111.0335998267,-8.599001580269044e-06,2.253088757612678e-06,-1.8324590376779516e-06,4173556.550020433
7,0.0,9.471740903694824,3.217495539036147,4243655.287733571,5897506.72312521,12301228.473311707,1343905.7291047443,-913194.669371889,-321541.4233301018,-9.344586101631397e-07,-4.286170504345078e-06,-4.232523251919933e-06,7909732.563871804
8,0.4551716465745877,8.743145449564453,3.8609946468433765,-3091703.273733104,-3324950.953823031,-1923413.4115216043,1094499.7271572647,-148024.04714875756,28353.553334071334,-5.4695339715987765e-06,-1.0003280398261808e-06,-7.759868353161501e-06,2313815.1759057567
9,0.4551716465745877,8.743145449564453,3.539245092939762,10258859.966044351,8573633.780196687,9540648.91653271,729272.06351332,61562.73569540897,-166965.54634936905,-5.38962292190457e-06,-1.9784247600791192e-06,-8.35102560193341e-06,1958566.302592331
