node_id,x,y,z,ux,uy,uz,ux_abs,uy_abs,uz_abs
0,6.146397662428685,0.0,0.0,2.6680895582926164e-11,-9.833057183417047e-11,1.2065498225281655e-10,2.452062165688058e-10,1.9479973639181423e-10,1.392187443113928e-10
1,6.6585974676310755,0.0,0.0,2.7008188711628964e-11,-1.3253682121284265e-10,1.6637378536600402e-10,2.4834464251794454e-10,2.765015260907677e-10,1.8885159009433788e-10
2,6.6585974676310755,0.550440620071836,0.0,5.937676058180352e-11,-1.3200974746654665e-10,1.5221981598314748e-10,1.8108256636173071e-10,2.743695821082393e-10,1.7435357277802335e-10
3,6.6585974676310755,0.550440620071836,0.29722043538289394,3.540134328753131e-11,-1.245663574635467e-10,1.523910960658052e-10,1.639702503157831e-10,2.7394944657564323e-10,1.7436468212168052e-10
4,6.6585974676310755,0.0,0.29722043538289394,2.2171620441309183e-12,-1.248775470332086e-10,1.657342332574387e-10,2.367565998769147e-10,2.7558954624548354e-10,1.8803740742227083e-10
5,6.146397662428685,0.550440620071836,0.0,5.853090396087496e-11,-9.919854322157636e-11,1.087189984439413e-10,1.7725654323632867e-10,1.9169319255503338e-10,1.2633369686316018e-10
6,6.146397662428685,0.0,0.29722043538289394,2.3971545880454416e-12,-9.124465363767104e-11,1.2005854854908855e-10,2.3315527920336403e-10,1.9383757245983887e-10,1.3797669905502665e-10
7,6.6585974676310755,1.100881240143672,0.29722043538289394,6.281756042456539e-11,-1.2480577626571218e-10,1.3357881815226438e-10,1.0657012833607319e-10,2.7138726270331493e-10,1.5634801942748007e-10
8,6.146397662428685,0.550440620071836,0.29722043538289394,3.498390373183691e-11,-9.223634742549164e-11,1.0872167908609793e-10,1.5961592824122124e-10,1.9087509240962757e-10,1.257323187972212e-10
9,6.6585974676310755,0.550440620071836,0.5944408707657879,1.3445526928279451e-11,-1.17439231769984e-10,1.5367173709121205e-10,1.4920116726541064e-10,2.741637191948904e-10,1.7511601333486888e-10
10,6.6585974676310755,1.100881240143672,0.0,8.43992226593468e-11,-1.324347358689436e-10,1.3320248469376408e-10,1.296452520779043e-10,2.7160294918211155e-10,1.5608339394565255e-10
11,5.634197857226294,0.0,0.0,2.449101800401206e-11,-6.07012218700115e-11,7.269368431295163e-11,2.3227335077517902e-10,1.0505377954017641e-10,8.749273835811056e-11
12,6.6585974676310755,0.0,0.5944408707657879,-1.9596637741945334e-11,-1.1682836435581785e-10,1.655582871183083e-10,2.268868775282357e-10,2.7514445348440705e-10,1.8736575937253434e-10
13,6.146397662428685,1.100881240143672,0.0,8.302411008447545e-11,-1.0145817679687185e-10,9.559110171004435e-11,1.2718590590832782e-10,1.893331934165342e-10,1.121367870269365e-10
14,6.6585974676310755,1.100881240143672,0.5944408707657879,4.274811069422842e-11,-1.1854802810508887e-10,1.3448291672221994e-10,8.496837970435289e-11,2.7219553219481766e-10,1.5682571127853707e-10
15,6.146397662428685,1.100881240143672,0.29722043538289394,6.147872641858487e-11,-9.402113577344527e-11,9.556140649238041e-11,1.0361639927020248e-10,1.8849486731761382e-10,1.1175710672076345e-10
16,5.634197857226294,0.550440620071836,0.0,5.570617575582157e-11,-6.114670784609073e-11,6.198770652021452e-11,1.6595335381239243e-10,9.887488632762188e-11,7.514584710445485e-11
17,6.146397662428685,0.0,0.5944408707657879,-1.8033888400797622e-11,-8.438221861281086e-11,1.199765023392901e-10,2.2301922467525024e-10,1.9332942297950528e-10,1.3694386018897282e-10
18,6.146397662428685,0.550440620071836,0.5944408707657879,1.4103996423665833e-11,-8.593215411751815e-11,1.0966713150135757e-10,1.4481976434294028e-10,1.908023434033295e-10,1.2581225129870975e-10
19,5.634197857226294,0.0,0.29722043538289394,1.2128987052685598e-12,-5.5490462767109285e-11,7.214286492725911e-11,2.2028944320670467e-10,1.0491527926122823e-10,8.518430132299385e-11
20,6.6585974676310755,1.651321860215508,0.29722043538289394,8.834245395788946e-11,-1.2695976389033905e-10,1.1564844118819961e-10,8.931985814107938e-11,2.7168937214918667e-10,1.3904175566415759e-10
21,5.634197857226294,0.550440620071836,0.29722043538289394,3.3002836176384224e-11,-5.5972369667717625e-11,6.131409118785921e-11,1.4840821676902608e-10,9.871467320139382e-11,7.305143552372456e-11
22,6.6585974676310755,0.550440620071836,0.8916613061486818,-7.721561942422262e-12,-1.0962038251513425e-10,1.5750203792373516e-10,1.3711647262828818e-10,2.741202279952693e-10,1.7802359973767518e-10
23,6.6585974676310755,1.651321860215508,0.0,1.0822649434594179e-10,-1.352423963246366e-10,1.1509855141741766e-10,1.1160873259572807e-10,2.7206234751482835e-10,1.3866828853629755e-10
24,6.6585974676310755,1.651321860215508,0.5944408707657879,6.918198921728117e-11,-1.196943630931406e-10,1.1639571465494275e-10,6.918574999319418e-11,2.7221921983988596e-10,1.3938968344191755e-10
25,6.146397662428685,1.100881240143672,0.5944408707657879,4.172661249227589e-11,-8.737613764457347e-11,9.5576566049155e-11,8.213523835353684e-11,1.884349489578356e-10,1.1129487665302087e-10
26,5.121998052023904,0.0,0.0,2.062820639638594e-11,-2.02567378129758e-11,2.3556670926751064e-11,2.049841679819811e-10,2.0586587786881434e-11,3.7261244467121665e-11
27,6.6585974676310755,0.0,0.8916613061486818,-3.9312645964578556e-11,-1.0727389953781335e-10,1.6819739595005374e-10,2.18711610167923e-10,2.7423897543481727e-10,1.890039787269753e-10
