node_id,x,y,z,sigma_xx,sigma_yy,sigma_zz,tau_xy,tau_yz,tau_zx,ux,uy,uz,von_mises
0,4.474758355982648,0.0,0.0,-11620.877247527656,6896.323320323315,-39397.49832731626,-12711.798231095123,-498.26336720430595,10576.120463911435,-2.549620965385448e-06,-4.984798218547227e-08,-8.94045271160199e-06,49495.95815081097
1,4.794383952838552,0.0,0.0,-60.81740480004797,10202.93801862584,18259.717484192417,-6112.655475140524,2175.8238639663164,-50750.406040055015,-2.5587855372383186e-06,1.3970517890513056e-08,-9.923444747597394e-06,90033.6416219482
2,4.794383952838552,0.751002670751368,0.0,-13663.26911916517,6952.097973705727,22078.41823320291,-7424.94979275331,-27698.236140016845,25490.804778885034,-2.777658768677351e-06,2.6622192644266187e-08,-9.774370070598948e-06,73361.73013762268
3,4.794383952838552,0.751002670751368,0.7559628378888357,-19797.38322386113,6187.94051857352,-41302.07229697534,3329.8894212136565,-42944.62070031108,12769.306756293803,-5.223547129893019e-07,-1.9575238133999963e-07,-9.791357243810057e-06,88043.43488720786
4,4.794383952838552,0.0,0.7559628378888357,-5353.42540426362,17458.689123674554,-32487.419132931678,19953.848398490816,-25003.666267716377,-58516.690287909005,-4.0292713955754993e-07,-2.487161555185503e-07,-9.960267281905994e-06,123362.3008151476
5,4.474758355982648,0.751002670751368,0.0,32832.38156700884,34118.22678522965,64583.60856851825,-6824.453375801269,32581.254507120782,-53251.63566239649,-2.7702045301576666e-06,-9.995491474961252e-09,-8.7695859461399e-06,113139.34187622232
6,4.474758355982648,0.0,0.7559628378888357,-3369.4881927016236,10830.758579432904,-123133.67942412027,-16006.448915941442,52233.052966781994,-169265.55233171207,-4.13247704035811e-07,-2.973641378952449e-07,-9.105446160673983e-06,333394.30991773563
7,4.794383952838552,1.502005341502736,0.7559628378888357,6300.200560208542,-1465.206178401253,-159569.0615165136,2364.7823940222834,63101.077723261944,-98807.82974069395,-5.596922194874509e-07,-1.444226240895899e-07,-9.569956693187245e-06,259876.60077285938
8,4.474758355982648,0.751002670751368,0.7559628378888357,-74577.34686595156,-17315.55733537429,-158546.28289035498,-12665.116774085182,-42062.838938011904,-101385.8585957183,-5.18232457382676e-07,-2.252980093790291e-07,-8.872031318597729e-06,227517.57311447916
9,4.794383952838552,0.751002670751368,1.5119256757776713,12380.844534641708,547.4421135353016,-278693.62883848953,-18755.937075485657,-91281.47783114297,99049.56347325465,1.0379397535617336e-06,-5.537589793995649e-07,-1.0064950315341743e-05,370006.35841691645
10,4.794383952838552,1.502005341502736,0.0,-38940.51042454172,13826.910316231431,31798.793291214344,12803.43556865175,41958.79406005183,-199414.376469264,-2.814045382629603e-06,5.6099352598189085e-08,-9.558082589488231e-06,359343.0184261614
11,4.1551327591267455,0.0,0.0,-60319.2529555036,26717.238328175783,87665.06298750135,-19170.39276201215,-20186.130807066234,-182075.83786160924,-2.5083533460689366e-06,-1.0931450974365214e-07,-7.69406540921382e-06,344055.8917694172
12,4.794383952838552,0.0,1.5119256757776713,-41557.126014070374,6201.0182352497295,-262292.4581457373,10934.220709119703,-31851.43785867746,-57402.313623441114,1.0930560576338834e-06,-6.805410497826294e-07,-1.0366976012027927e-05,273558.2710919127
13,4.474758355982648,1.502005341502736,0.0,42066.66255413899,67908.46136960428,193484.15818999647,10766.483280693383,-151427.1559187086,268266.8807094494,-2.799240888054896e-06,4.6313271785460636e-08,-8.558510007302813e-06,552016.137521007
